pdf_path,paper_folder,note_slug,is_main_pdf,pdf_role,source_kind,parse_issue
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/mazerunner_30x30_example.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/meta_mazerunner_iclr_v1.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/metaworld_results.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/multigamma_ablation.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/multigamma_plot.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/new_dark_key_door.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/popart_demo-6.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/popgym_learning_curves.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/popgym_summary_expanded_outliers.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/popgym_vs_rnn_condensed.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
