seed,agent,global_step,task_id,belief_top_task,belief_top_prob,belief_correct
0,explicit_state,111,0,0,0.9646928711145148,1
0,explicit_state,112,0,0,0.9646934046166036,1
0,explicit_state,113,0,0,0.964693587341595,1
0,explicit_state,114,0,0,0.6314464510459918,1
0,explicit_state,115,0,0,0.8351959031149216,1
0,explicit_state,116,0,0,0.9184776204592937,1
0,explicit_state,117,0,0,0.9486450268024965,1
0,explicit_state,118,0,0,0.9591712173239493,1
0,explicit_state,119,0,0,0.9627992076855081,1
0,explicit_state,120,0,0,0.9640444682725894,1
0,explicit_state,121,0,0,0.9644712844338443,1
0,explicit_state,122,0,0,0.9646175060991672,1
0,explicit_state,123,0,0,0.6311744846126428,1
0,explicit_state,124,0,0,0.8350726385201195,1
0,explicit_state,125,0,0,0.9184316316848706,1
0,explicit_state,126,0,0,0.5003977204190615,1
0,explicit_state,127,0,0,0.770276554497732,1
0,explicit_state,128,0,0,0.8936256798548534,1
0,explicit_state,129,0,0,0.9398217238092996,1
0,explicit_state,130,0,0,0.95611260049564,1
0,explicit_state,131,0,0,0.6021937596484036,1
0,explicit_state,132,0,0,0.8216990135775657,1
0,explicit_state,133,0,0,0.9134163462012119,1
0,explicit_state,134,0,0,0.9468595718429548,1
0,explicit_state,135,0,0,0.9585535910591753,1
0,explicit_state,136,0,0,0.9625869535365784,1
0,explicit_state,137,0,0,0.9639716869668934,1
0,explicit_state,138,0,0,0.9644463469099596,1
0,explicit_state,139,0,0,0.9646089638183436,1
0,explicit_state,140,0,0,0.9646646655852718,1
0,explicit_state,141,0,0,0.9646837441149796,1
0,explicit_state,142,0,0,0.9646902786015551,1
0,explicit_state,143,0,0,0.6314346184154981,1
0,explicit_state,144,0,0,0.8351905409931917,1
0,explicit_state,145,0,0,0.918475619994788,1
0,explicit_state,146,0,0,0.9486443222364138,1
0,explicit_state,147,0,0,0.9591709737294258,1
0,explicit_state,148,0,0,0.6123010672229208,1
0,explicit_state,149,0,0,0.8264181386018022,1
0,explicit_state,150,0,0,0.9151919498553902,1
0,explicit_state,151,0,0,0.4932129787368825,1
0,explicit_state,152,0,0,0.7663335551671638,1
0,explicit_state,153,0,0,0.8920726099481188,1
0,explicit_state,154,0,0,0.9392655408877932,1
0,explicit_state,155,0,0,0.9559192528989607,1
0,explicit_state,156,0,0,0.9616807729738408,1
0,explicit_state,157,0,0,0.963660859715079,1
0,explicit_state,158,0,0,0.9643398343847095,1
0,explicit_state,159,0,0,0.9645724768597539,1
0,explicit_state,160,0,0,0.964652168027912,1
0,explicit_state,161,0,0,0.9646794636035625,1
0,explicit_state,162,0,0,0.964688812512423,1
0,explicit_state,163,0,0,0.9646920145395439,1
0,explicit_state,164,0,0,0.9646931112387136,1
0,explicit_state,165,0,0,0.9646934868593854,1
0,explicit_state,166,0,0,0.964693615509824,1
0,explicit_state,167,0,0,0.9646936595727157,1
0,explicit_state,168,0,0,0.9646936746642951,1
0,explicit_state,169,0,0,0.9646936798331743,1
0,explicit_state,170,0,0,0.9646936816035201,1
0,explicit_state,171,0,0,0.964693682209865,1
0,explicit_state,172,0,0,0.9646936824175386,1
0,explicit_state,173,0,0,0.964693682488667,1
0,explicit_state,174,0,0,0.9646936825130287,1
0,explicit_state,175,0,0,0.6314467914022436,1
0,explicit_state,176,0,0,0.8351960573509851,1
0,explicit_state,177,0,0,0.9184776780005328,1
0,explicit_state,178,0,0,0.948645047068579,1
0,explicit_state,179,0,0,0.5788693786875617,1
0,explicit_state,180,0,0,0.8105691265890058,1
0,explicit_state,181,0,0,0.9092026827628984,1
0,explicit_state,182,0,0,0.9453687130824687,1
0,explicit_state,183,0,0,0.9580373667735733,1
0,explicit_state,184,0,0,0.9624094885950817,1
0,explicit_state,185,0,0,0.9639108279092723,1
0,explicit_state,186,0,0,0.9644254935775676,1
0,explicit_state,187,0,0,0.9646018204718367,1
0,explicit_state,188,0,0,0.9646622188582546,1
0,explicit_state,189,0,0,0.9646829060942144,1
0,explicit_state,190,0,0,0.9646899915769924,1
0,explicit_state,191,0,0,0.9646924183711917,1
0,explicit_state,192,0,0,0.9646932495515247,1
0,explicit_state,193,0,0,0.9646935342316584,1
0,explicit_state,194,0,0,0.9646936317348707,1
0,explicit_state,195,0,0,0.9646936651298085,1
0,explicit_state,196,0,0,0.9646936765676043,1
0,explicit_state,197,0,0,0.9646936804850594,1
0,explicit_state,198,0,0,0.9646936818267913,1
0,explicit_state,199,0,0,0.9646936822863356,1
